[2024-11-12 18:53:15,856] DEBUG - LocalScanner - MAC vendor database updated.
[2024-11-12 18:53:17,706] DEBUG - LocalScanner - Nmap is installed.
[2024-11-12 18:53:17,710] INFO - LocalScanner - LocalScanner initialized with scan duration: 10 seconds.
[2024-11-12 18:53:30,064] DEBUG - LocalScanner - MAC vendor database updated.
[2024-11-12 18:53:30,264] DEBUG - LocalScanner - Nmap is installed.
[2024-11-12 18:53:30,286] INFO - LocalScanner - Initiating network scan.
[2024-11-12 18:53:30,287] INFO - LocalScanner - Starting local network scan.
[2024-11-12 18:53:30,287] DEBUG - LocalScanner - Retrieving active network interfaces.
[2024-11-12 18:53:30,462] DEBUG - LocalScanner - Active interface found: Hyper-V Virtual Ethernet Adapter with IP 172.24.144.1 and netmask None
[2024-11-12 18:53:30,500] DEBUG - LocalScanner - Calculating network range for interface: Hyper-V Virtual Ethernet Adapter
[2024-11-12 18:53:30,636] ERROR - LocalScanner - IP address or netmask not found for interface Hyper-V Virtual Ethernet Adapter.
[2024-11-12 18:53:30,638] ERROR - LocalScanner - An error occurred during the network scan: IP address or netmask not found for interface Hyper-V Virtual Ethernet Adapter.
[2024-11-12 18:53:30,638] INFO - LocalScanner - Network scan completed.
[2024-11-12 18:56:19,638] DEBUG - LocalScanner - MAC vendor database updated.
[2024-11-12 18:56:19,962] DEBUG - LocalScanner - Nmap is installed.
[2024-11-12 18:56:19,974] INFO - LocalScanner - LocalScanner initialized with scan duration: 10 seconds.
[2024-11-12 18:56:34,808] DEBUG - LocalScanner - MAC vendor database updated.
[2024-11-12 18:56:35,215] DEBUG - LocalScanner - Nmap is installed.
[2024-11-12 18:56:35,235] INFO - LocalScanner - Initiating network scan.
[2024-11-12 18:56:35,237] INFO - LocalScanner - Starting local network scan.
[2024-11-12 18:56:35,238] DEBUG - LocalScanner - Retrieving active network interfaces.
[2024-11-12 18:56:35,335] DEBUG - LocalScanner - Active interface found: Hyper-V Virtual Ethernet Adapter with IP 172.24.144.1 and netmask None
[2024-11-12 18:56:35,335] DEBUG - LocalScanner - Calculating network range for interface: Hyper-V Virtual Ethernet Adapter
[2024-11-12 18:56:35,373] ERROR - LocalScanner - IP address or netmask not found for interface Hyper-V Virtual Ethernet Adapter.
[2024-11-12 18:56:35,374] ERROR - LocalScanner - An error occurred during the network scan: IP address or netmask not found for interface Hyper-V Virtual Ethernet Adapter.
[2024-11-12 18:56:35,374] INFO - LocalScanner - Network scan completed.
[2024-11-12 18:57:03,676] INFO - LocalScanner - Manual network scan initiated.
[2024-11-12 18:57:03,677] INFO - LocalScanner - Starting local network scan.
[2024-11-12 18:57:03,677] DEBUG - LocalScanner - Retrieving active network interfaces.
[2024-11-12 18:57:03,770] DEBUG - LocalScanner - Active interface found: Hyper-V Virtual Ethernet Adapter with IP 172.24.144.1 and netmask None
[2024-11-12 18:57:03,770] DEBUG - LocalScanner - Calculating network range for interface: Hyper-V Virtual Ethernet Adapter
[2024-11-12 18:57:03,817] ERROR - LocalScanner - IP address or netmask not found for interface Hyper-V Virtual Ethernet Adapter.
[2024-11-12 18:57:03,818] ERROR - LocalScanner - An error occurred during the network scan: IP address or netmask not found for interface Hyper-V Virtual Ethernet Adapter.
[2024-11-12 18:57:03,818] INFO - LocalScanner - Manual network scan completed.
[2024-11-12 18:57:05,380] INFO - LocalScanner - Initiating network scan.
[2024-11-12 18:57:05,381] INFO - LocalScanner - Starting local network scan.
[2024-11-12 18:57:05,381] DEBUG - LocalScanner - Retrieving active network interfaces.
[2024-11-12 18:57:05,460] DEBUG - LocalScanner - Active interface found: Hyper-V Virtual Ethernet Adapter with IP 172.24.144.1 and netmask None
